word,mean,freq
"Landesdatenbank NRW",0,6
"Bevölkerung",5.00,5
"Wirtschaft",5.00,5
"VPI",5.00,5
"Beschäftigte",4.43,5
"Arbeitslose",4.14,4
"Arbeitsmarkt",4.00,4
"Pendler",4.00,4
"Wanderungen",4.00,4
"Zensus",3.86,4
"Tourismus",3.80,4
"Mikrozensus",3.71,4
"Bildung",3.57,4
"Erwerbstätigkeit",3.57,4
"Flächennutzung",3.50,4
"Wohnen",3.50,4
"Schulen",3.43,4
"Wahlen",3.43,4
"Steuern",3.40,4
"Baufertigstellungen",3.33,3
"Geburten",3.29,3
"Einkommen",3.20,3
"446",3.90,3
"Unfälle",3.20,3
"Baugenehmigungen",3.00,3
"69",3.75,3
"2",3.60,3
"Unternehmen",3.00,3
"Verarbeitendes Gewerbe",3.00,3
"Verdienste",3.00,3
"751",3.45,3
"8",3.30,3
"94",3.20,3
"57",3.00,3
"158",2.97,2
"36",2.93,2
"5",2.89,2
"297",2.83,2
"862",2.78,2
"12",2.73,2
"4354",1.95,1
"88",1.90,1
"6",1.86,1
"73",1.80,1
"348",1.73,1
"Ausländer",3.00,3
"VGR",3.00,3
"Fortzüge",3.00,3
"Zuzüge",3.00,3
"Asylbewerberleistungen",2.86,3
"Einbürgerungen",2.83,3
"Preise",2.83,3
"Gemeinden",2.80,3
"URS",2.71,3
"Eheschließungen",2.67,3
"Sterbefälle",2.67,3
"Verkehr",2.67,3
"Wasser",2.67,2
"Schulden",2.60,2
"WZ",2.60,3
"Auftragseingang",2.57,2
"Gesundheit",2.57,2
"Sozialhilfe",2.57,2
"Umweltschutz",2.50,2
"Außenhandel",2.43,2
"Berufsbildung",2.43,2
"Scheidungen",2.40,2
"Sozialberichterstattung",2.40,2
"Ernte",2.33,2
"Gesamtrechnungen",2.33,2
"Todesursachen",2.33,2
"Baugewerbe",2.29,2
"Gebäude",2.29,2
"Kinder- und Jugendhilfe",2.29,2
"Arbeitsstätten",2.25,2
"Investitionen",2.25,2
"Personal",2.25,2
"Hochschulen",2.17,2
"Sozialleistungen",2.17,2
"Arbeitskosten",2.14,2
"Betriebe",2.14,2
"Gewerbeanzeigen",2.00,2
"Haushalte",2.00,2
"Industrie",2.00,2
"KFZ",2.00,1
"Krankenhäuser",2.00,1
"Kreise",2.00,1
"Produzierendes Gewerbe",2.00,1
"UGR",2.00,1
"Insolvenzen",1.86,1
"LZ",1.75,1
"Bodennutzung",1.71,1
"Abwasser",1.67,1
"ASE",1.67,1
"Gebiet",1.67,1
"Handwerk",1.67,1
"Landwirtschaft",1.67,1
"Bilanzen",1.60,1
"EVS",1.60,1
"Abfall",1.57,1
"Bergbau",1.50,1
"Gesundheitsökonomische",1.50,1
"Kultur",1.50,1
"MZ",1.50,1
"Dienstleistungen",1.40,1
"Justiz",1.40,1
"Rechtspflege",1.40,1
"Vorausberechnung",1.40,1
"Wohngeld",1.40,1
"Öffentlich",1.33,1
"Forstwirtschaft",1.20,1
"AKE",1.00,1
"Aquakultur",1.00,1
"Fischerei",1.00,1
"GGR",1.00,1
