word,mean,freq
"Regionaldatenbank",6.00,6
"Bevölkerung",5.50,5
"Arbeitslosigkeit",5.40,5
"Wirtschaft",5.30,5
"Beschäftigte",5.20,5
"Zensus",5.10,5
"Wanderungen",4.90,4
"Arbeitsmarkt",4.85,4
"Schulen",4.80,4
"Wahlen",4.75,4
"Pendler",4.70,4
"Flächennutzung",4.65,4
"Bildung",4.60,4
"Tourismus",4.55,4
"Erwerbstätige",4.50,4
"Umwelt",4.45,4
"Geburten",4.40,4
"Wohnen",4.35,4
"Baufertigstellungen",4.30,4
"Steuern",4.25,4
"Außenhandel",4.20,4
"Produzierendes Gewerbe",3.95,3
"446",3.90,3
"Energieversorgung",3.85,3
"Insolvenzen",3.80,3
"69",3.75,3
"Kindertagespflege",3.70,3
"Einkommen",3.65,3
"2",3.60,3
"KFZ",3.55,3
"Gebäude",3.50,3
"751",3.45,3
"Krankenhäuser",3.40,3
"Eheschließungen",3.35,3
"8",3.30,3
"Einwohner",3.25,3
"94",3.20,3
"Hochschulen",3.15,3
"Verarbeitendes Gewerbe",3.10,3
"Gesundheitswesen",3.05,3
"57",3.00,3
"Jugendhilfe",2.99,2
"Preise",2.98,2
"158",2.97,2
"Einbürgerungen",2.96,2
"Landwirtschaft",2.95,2
"Verdienste",2.94,2
"36",2.93,2
"Unfälle",2.92,2
"Scheidungen",2.91,2
"Ausländer",2.90,2
"5",2.89,2
"Unternehmen",2.88,2
"Fortzüge",2.87,2
"Pflege",2.86,2
"Arbeitsstätten",2.85,2
"Sozialleistungen",2.84,2
"297",2.83,2
"VGR",2.82,2
"Sozialhilfe",2.81,2
"Transport",2.80,2
"URS",2.79,2
"862",2.78,2
"Straßenverkehr",2.77,2
"Personal",2.76,2
"Asylbewerberleistungen",2.75,2
"Umsatzsteuer",2.74,2
"12",2.73,2
"Baugenehmigungen",2.72,2
"Sterbefälle",2.71,2
"UGR",2.70,2
"Öffentlich",1.99,1
"935",1.98,1
"Haushalte",1.97,1
"Kreise",1.96,1
"4",1.95,1
"WZ",1.94,1
"Gastgewerbe",1.93,1
"Kultur",1.92,1
"Investitionen",1.91,1
"88",1.90,1
"Abwasser",1.89,1
"Handwerkszählungen",1.88,1
"Gestorbene",1.87,1
"6",1.86,1
"Gesamtrechnungen",1.85,1
"Handel",1.84,1
"Forstwirtschaft",1.83,1
"Dienstleistungen",1.82,1
"Gebietsstand",1.81,1
"73",1.80,1
"Wasserversorgung",1.79,1
"Ernte",1.78,1
"Betriebe",1.77,1
"Abfallentsorgung",1.76,1
"GWZ",1.75,1
"Bodennutzung",1.74,1
"348",1.73,1
"Bergbau",1.72,1
"Fischerei",1.71,1
